127.0.0.1 - - [20/Feb/2021:18:29:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:29:17 +0900] "GET /com/menu.jsp HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:29:34 +0900] "GET /com/movie/boxOffice/oneday HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:42:25 +0900] "GET /com/menu.jsp HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:42:32 +0900] "GET /com/menu.jsp HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:42:44 +0900] "GET /com/movie/boxOffice/oneday HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:42:55 +0900] "GET /com/movie/boxOffice/movieinfo/actor?movieCd=20190323 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:43:01 +0900] "GET /com/movie/boxOffice/movieinfo/actor?movieCd=20199541 HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:43:06 +0900] "GET /com/movie/boxOffice/movieinfo/actor?movieCd=20200703 HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:43:13 +0900] "GET /com/movie/boxOffice/movieinfo/actor?movieCd=20214848 HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:44:36 +0900] "GET /com/movie/boxOffice/oneday HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:44:39 +0900] "GET /com/movie/findArtist HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:44:46 +0900] "GET /com/movie/find/artist?peopleNm= HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:47:07 +0900] "GET /com/movie/find/artist?peopleNm=%EA%B9%80%ED%98%9C%EC%88%98 HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:47:26 +0900] "GET /com/movie/findArtist HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:47:30 +0900] "GET /com/movie/find/artist?peopleNm=%EA%B9%80%ED%98%9C%EC%88%98 HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:47:44 +0900] "GET /com/movie/find/artist?peopleNm=%EC%9E%A5%EC%A7%84%ED%98%B8 HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:59:24 +0900] "GET /com/menu.jsp HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:59:35 +0900] "GET /com/movie/findArtist HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [20/Feb/2021:18:59:42 +0900] "GET /com/movie/find/artist?peopleNm=%EA%B9%80%ED%98%9C%EC%88%98 HTTP/1.1" 500 5693
0:0:0:0:0:0:0:1 - - [20/Feb/2021:19:00:41 +0900] "GET /com/movie/findArtist HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [20/Feb/2021:19:00:42 +0900] "GET /com/movie/findArtist HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [20/Feb/2021:19:00:45 +0900] "GET /com/movie/find/artist?peopleNm=%EA%B9%80%ED%98%9C%EC%88%98 HTTP/1.1" 500 5693
0:0:0:0:0:0:0:1 - - [20/Feb/2021:19:06:17 +0900] "GET /com/movie/find/artist?peopleNm=%EA%B9%80%ED%98%9C%EC%88%98 HTTP/1.1" 500 5682
0:0:0:0:0:0:0:1 - - [20/Feb/2021:19:09:16 +0900] "GET /com/movie/findArtist HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [20/Feb/2021:19:09:23 +0900] "GET /com/movie/find/artist?peopleNm=%EA%B9%80%ED%98%9C%EC%88%98 HTTP/1.1" 200 153
